Category,Data,Currency
AccruedCash,66.41,USD
AccruedCash-C,0.00,USD
AccruedCash-S,66.41,USD
AccruedDividend,0.00,USD
AccruedDividend-C,0.00,USD
AccruedDividend-S,0.00,USD
AvailableFunds,1204112.01,USD
AvailableFunds-C,0.00,USD
AvailableFunds-S,1204112.01,USD
Billable,0.00,USD
Billable-C,0.00,USD
Billable-S,0.00,USD
BuyingPower,8027413.43,USD
EquityWithLoanValue,1317380.63,USD
EquityWithLoanValue-C,0.00,USD
EquityWithLoanValue-S,1317380.63,USD
ExcessLiquidity,1214409.16,USD
ExcessLiquidity-C,0.00,USD
ExcessLiquidity-S,1214409.16,USD
FullAvailableFunds,1204112.01,USD
FullAvailableFunds-C,0.00,USD
FullAvailableFunds-S,1204112.01,USD
FullExcessLiquidity,1214409.16,USD
FullExcessLiquidity-C,0.00,USD
FullExcessLiquidity-S,1214409.16,USD
FullInitMarginReq,113268.61,USD
FullInitMarginReq-C,0.00,USD
FullInitMarginReq-S,113268.61,USD
FullMaintMarginReq,102971.47,USD
FullMaintMarginReq-C,0.00,USD
FullMaintMarginReq-S,102971.47,USD
GrossPositionValue,675493.39,USD
GrossPositionValue-S,675493.39,USD
Guarantee,0.00,USD
Guarantee-C,0.00,USD
Guarantee-S,0.00,USD
IndianStockHaircut,0.00,USD
IndianStockHaircut-C,0.00,USD
IndianStockHaircut-S,0.00,USD
InitMarginReq,113268.61,USD
InitMarginReq-C,0.00,USD
InitMarginReq-S,113268.61,USD
LookAheadAvailableFunds,1204112.01,USD
LookAheadAvailableFunds-C,0.00,USD
LookAheadAvailableFunds-S,1204112.01,USD
LookAheadExcessLiquidity,1214409.16,USD
LookAheadExcessLiquidity-C,0.00,USD
LookAheadExcessLiquidity-S,1214409.16,USD
LookAheadInitMarginReq,113268.61,USD
LookAheadInitMarginReq-C,0.00,USD
LookAheadInitMarginReq-S,113268.61,USD
LookAheadMaintMarginReq,102971.47,USD
LookAheadMaintMarginReq-C,0.00,USD
LookAheadMaintMarginReq-S,102971.47,USD
MaintMarginReq,102971.47,USD
MaintMarginReq-C,0.00,USD
MaintMarginReq-S,102971.47,USD
NetLiquidation,1317380.63,USD
NetLiquidation-C,0.00,USD
NetLiquidation-S,1317380.63,USD
NetLiquidationUncertainty,0.00,USD
PASharesValue,0.00,USD
PASharesValue-C,0.00,USD
PASharesValue-S,0.00,USD
PostExpirationExcess,0.00,USD
PostExpirationExcess-C,0.00,USD
PostExpirationExcess-S,0.00,USD
PostExpirationMargin,0.00,USD
PostExpirationMargin-C,0.00,USD
PostExpirationMargin-S,0.00,USD
PreviousDayEquityWithLoanValue,1317220.51,USD
PreviousDayEquityWithLoanValue-S,1317220.51,USD
TotalCashValue,641820.83,USD
TotalCashValue-C,0.00,USD
TotalCashValue-S,641820.83,USD
TotalDebitCardPendingCharges,0.00,USD
TotalDebitCardPendingCharges-C,0.00,USD
TotalDebitCardPendingCharges-S,0.00,USD
Currency,USD,USD
CashBalance,641820.83,USD
TotalCashBalance,641820.83,USD
StockMarketValue,675493.39,USD
OptionMarketValue,0.00,USD
FutureOptionValue,0.00,USD
FuturesPNL,0.00,USD
NetLiquidationByCurrency,1317380.6275,USD
UnrealizedPnL,250613.70,USD
RealizedPnL,0.00,USD
ExchangeRate,1.00,USD
FundValue,0.00,USD
NetDividend,0.00,USD
MutualFundValue,0.00,USD
MoneyMarketFundValue,0.00,USD
CorporateBondValue,0.00,USD
TBondValue,0.00,USD
TBillValue,0.00,USD
WarrantValue,0.00,USD
FxCashBalance,0.00,USD
AccountOrGroup,DUC00074,USD
RealCurrency,USD,USD
IssuerOptionValue,0.00,USD
